description,country,variety
"Quiet on the bouquet, this offers aromas and flavors of a wine that's in the early stages of decline. It feels mildly oxidized and tastes of hollow fruit and yeasty vanilla. The finish is mild, with a note of hay.",Spain,Viura
"The nose smells minty and capped with rubbery, blackened aromas. It feels tangy and tannic, with medicinal flavors of berry and resiny oak. It's powerful but rough.",Spain,Tempranillo
"This smells like a new coat of road tar mixed with black olive tapenade and herb. It feels tannic and clumsy, with herb and stewed-fruit flavors. The cooked finish ends with roasted berry and olive notes.",Spain,Red Blend
"This is brambly, stalky and baked on the nose, and the palate is wide, tannic and scratchy. The flavor profile is all roasted plum, bacon and herb accents, finishing stalky and savory.",Spain,Red Blend
"Berry, plum and pastry aromas carry a bit of stalky sweetness. It feels juicy, textured and mildly tannic, with lightly herbal berry and resin flavors. Oaky on the finish, it has a good set of outgoing flavors and length.",Spain,Tempranillo
"Dense and concentrated on the nose, this features blackberry and black cherry aromas, with hardly any perceptible oak. It feels fresh but choppy and tannic, with roasted plum, berry and savory spice flavors. It's baked in flavor and gritty in feel as it finishes.",Spain,Garnacha
"Earth, cola, berry, toast and leather aromas share the bouquet. The palate is narrow and pinched by firm tannins, while the flavor profile deals a mix of herb, toast and plum. Warm, earthy and oaky on the finish, the wine carries a lemony accent and satisfying length.",Spain,Red Blend
"Apart from its note of fresh apple and hint of juniper, the nose is fairly neutral. It feels clean, crisp and cleansing, with pear and nectarine flavors that finish light, with medium intensity and length. Drink right away for maximum freshness and expression.",Spain,Albariño
Green-apple and honeyed aromas are more simple and anonymous than special. This varietal white Grenache has a shearing linear acidic palate that fosters tart flavors of tangerine and lemon peel. A stony drawn finish is crisp and zesty.,Spain,Garnacha Blanca
"Earthy plum and stalky berry aromas are bolstered by bold oak aromas. This feels good and healthy, with spicy oaky flavors that are dry lactic and push the wine's fruit to the background. A woody spicy, minty finish ends this. Drink through 2017.",Spain,Tempranillo
"Leathery, baked aromas of cheesy oak and red berry fruits are a bit lacking in pop but are reflective of typical Rioja Crianza. A full grabby palate shows earthy, buttery flavors of baked stalky berry fruits and oak. A grabby chunky finish wraps this up.",Spain,Tempranillo Blend
"Stalky, soupy berry aromas come up shy on elegance. This feels clampy and hard with rocky tannins. Standard berry fruit flavors are overshadowed by gritty stalky blackened accents, while the finish is grating and uncushioned but long.",Spain,Tempranillo
"Hard and oaky cherry aromas filter into a tangy, zesty, clampy palate. Plum and other red-berry fruit flavors finish raw and rugged, with overt oak character and a touch of minty, herbal green.",Spain,Garnacha
"This quaffable white blend opens with minerally vitamin-like aromas along with touches of peach pit and apple. The palate is good in a generic way, while apple, pear, melon and mild spice flavors finish exactly the same.",Spain,White Blend
"Nutty aromas break up and lose cleanliness with airing. This is a wine in decline; it's mealy and fairly woody, with not a lot happening. At moments it hints at mature quality but mostly it lacks steam.",Spain,Doña Blanca
"For freshness and elegance in an unoaked wine, look no further than this leesy, smooth Albariño that shouts of its coastal origin. Sea notes, apple and peach grace the bouquet, while the plump but zesty palate offers minerally lemon, lime and apple flavors.",Spain,Albariño
"Dusty spice and red-berry aromas are a fine opening to this blend of Garnacha, Carignan, Cab Sauvignon and Syrah. It's fairly full bodied but not heavy, with fine balance and bright flavors of cherry and berry that come in layered waves. A toasty, dry finish with spice and good acidity closes out this easy-to-like Spanish red. Drink through 2017.",Spain,Red Blend
"By and large, this is a good Priorat to drink or hold, because it should still improve. Both the bouquet and palate are oaky and fiery, with cherry, raspberry and vanilla flavors. On the finish, things turn buttery before settling on rooty and staunch. The more air this gets, the more it comes around. Drink now through 2018.",Spain,Red Blend
"If you like heavyweight Tempranillo, this is a textbook rendition. It's deep and dark, with earth, leather and oak in addition to monster black fruit on the nose. Feels lush, powerful and layered, with bursting blackberry, spice, mocha and vanilla flavors. Quite black and spicy on the finish. Drink from 2012 through 2016.",Spain,Tinta de Toro
"Textbook Rioja gran reserva in every way. It's light and smoky smelling, with brown sugar, fine cologne and cedary aromas. Generous but well-cut in the mouth, with fig, mushroom, raspberry and spiced plum flavors. Fresh on the finish, with light herb flavors and good weight. Drink now through 2018.",Spain,Tempranillo
"This is a polished, smooth, ripe-smelling Toro with an inky color and earthy undertones to the bouquet. Full, tannic and voluminous, this tastes mostly of blackberry and prune, while the finish is similar in taste and lush in texture. This is more forward and ripe than complex and nuanced; drink through 2021.",Spain,Tinta de Toro
"Dusty, clammy, white fruit aromas are generic. This is pulpy in feel with a vague focus. Leesy, pithy citrus flavors are standard and short on personality, while this finishes adequately with a mild citric lift.",Spain,Albariño
"Popcorn and apple aromas ride highest on a lightly baked and toasty bouquet. This feels clean and correct, but basic. Flavors of spiced apple and melon blend with fresh celery and lettuce notes in front of a minerally lime-tinged finish.",Spain,Sparkling Blend
"Stalky, soupy berry aromas come up shy on elegance. This feels clampy and hard with rocky tannins. Standard berry fruit flavors are overshadowed by gritty stalky blackened accents, while the finish is grating and uncushioned but long.",Spain,Tempranillo
"Roasted and rubbery smelling, this has heavy oak influence that yields notes of mint and shoe. Shearing on the palate despite its body, this has flavors of oak-based vanilla, mint and sweet-and-sour plum. Prieto Picudo is a difficult grape to make into good wine.",Spain,Prieto Picudo
"This smells like barbecue and Eastern European oak. It feels flat and static, with woody resin and savory flavors to go with notes of nectarine and white grape.",Spain,Sparkling Blend
"Oily on the nose, this has a distinct whiff of matchstick and popcorn. It feels dry—like almond skins—with oily flavors of walnuts and white fruits. The finish is marked with a mild bitterness as well.",Spain,Macabeo
The candied red-fruit aroma is soft yet snappy. It tastes briny and citrusy before ending with a persistent peppery bitterness and lively acidity.,Spain,Garnacha
"The mildly floral nose leads to a lean and acidic palate, with flavors of lemon and green apple.",Spain,Muscat
"With dusty apple and mineral aromas, this feels healthy and plump, with apple, pear and lime flavors that sit in front of a citric and mildly green finish. Good and normal as Rueda wines go.",Spain,Verdejo
"Cedar cigar box and berry aromas become significantly more charred and toasted upon airing. It feels good, with plum, berry and plenty of burnt toast in the flavor package. It finishes dark and spicy, with a leftover burnt note.",Spain,Tempranillo
"This is mellow upfront, but it also has solid plum and berry aromas. On the palate it's grabby but good, with tough tannins that support dark plum and savory notes. Chewy and chocolaty on the finish, it has a mossy accent and firm leftover tannins.",Spain,Tempranillo
"Varietally correct on the nose, this has green apple, grapefruit and floral aromas. It feels basic, tangy and linear, with notes of melon, citrus and a dry, crisp finish that's mildly briny and a touch bitter.",Spain,Verdejo
"Likable from the start, with black fruit, baking spice and exotic sandalwood notes, this is firm and drying in feel, with a blend of dark berry, toast and peppery spice flavors. It remains dry on the finish, with a pinch of heat that food should tame.",Spain,Tempranillo
"Peach and apple aromas are fruity but not precise or minerally. This has peachy acidity but a wide, unfocused palate. Flavors of peach and nectarine are tasty but lack the crispness that Albariño is known for.",Spain,Albariño
"Slightly nutty aromas are not terribly exciting, but in the mouth this is better; it's fresh, with a proper acid-to-body ratio. Flavors of dry apple and nectarine finish mildly bitter, with a distinct note of almond skins. This is 75% Viura and 25% Chardonnay.",Spain,White Blend
"Woody aromas of vanilla, blackberry, black plum and cassis are lactic and creamy. Concentrated and huge on the palate, but with enviable balance, this powerful, ripe Garnacha deals blackberry and dark-plum flavors prior to an oaky, spicy, chocolaty finish with peppery, blackened spice notes. This is a monster wine with 16.5% abv, but it can handle it.",Spain,Garnacha
"Blackberry, cassis, coffee and charred aromas make for a smoky, healthy, attractive bouquet. This is dense, deep, tannic and a bit rubbery and bouncy in feel. Tea, herb, chocolate and baked blackberry flavors end with cocoa and herbal, earthy notes. Drink this ripe gran reserva through 2023.",Spain,Tempranillo Blend
"Stocky plum and smashed-berry aromas offer notes of garrigue and wild animal. As for mouthfeel, this Syrah is layered, chewy and pulpy, with power in reserve. Deep berry and cassis flavors are darkened by toast and spice notes, while the finish is long, spicy and only builds in fruit. Drink through 2022.",Spain,Red Blend
"A mellow, neutral nose doesn't push the envelope. In the mouth, this is round but punchy, with some excess weight. Flavors of apple juice, pear and melon finish with flavors of lime, apple cider and powdered sugar.",Spain,Sparkling Blend
"Grassy, compost-like aromas carry a peanut accent and not much vivid fruit. This pinches down on what amounts to a clampy palate, while crisp, mildly green berry flavors finish minty and peppery.",Spain,Tempranillo
"Harmonious but mild cherry and raspberry aromas are light and nice. This is substantive enough, with rubbery tannins and some chewiness to the palate. Generic flavors of raspberry and red plum finish mellow and easy.",Spain,Tempranillo
"Despite some grit and tar on the nose, this Rioja opens well with spicy cherry and plum aromas. A standard, mild palate is satisfactory, while lightly roasted slightly briny plum and berry flavors end with a hint of saltiness.",Spain,Tempranillo
"An idiosyncratic wine, offering a yeasty orange marmalade aroma followed by a razor-sharp palate with sour citrus and apricot flavors. It's grating and citric on the finish, with a yeasty offset.",Spain,Sparkling Blend
"Heavy and dark in color, this is stalky on the nose, with a compost component that doesn't scream “fresh and ready.” It feels fairly snappy, but it tastes tart and slightly vegetal before finishing with rhubarb flavors.",Spain,Trepat
"A tight note of spearmint defines the nose. The palate follows suit: It's pinched and hard, with outsized acidity leading to a lemony palate, with searing cherry and red plum flavors. It doesn't waiver on the finish.",Spain,Cabernet Sauvignon
"Rubbery on the nose, this has berry aromas lurking below. On the palate, it feels acidic, with tart raspberry flavors. It's lean on the finish, with a touch of oak.",Spain,Tempranillo
"This is heavy and raisiny, with ripe earth and mineral aromas that are suggestive of Port. It feels loaded and scratchy, with licorice, prune and pepper flavors that finish short and with some heat. A bullish style to drink now.",Spain,Tinta de Toro
"Bits of grass and green tobacco infiltrate the otherwise sturdy and solid nose on this Tempranillo-based blend that includes Merlot, Cabernet and Syrah. It feels medium bodied and fresh, with red plum, raspberry, herb and coffee flavors. The finish turns leafy, chocolaty and herbal.",Spain,Red Blend
"Satinela has been on the upswing in recent years as it has become more complex. This vintage smells of lime, mineral and dusty apple. It feels fresh and right for the style, with Bartlett pear, lime and dry spice flavors.",Spain,White Blend
"Dense and dark, this has earthy, crusty berry aromas and a sprinkle of herb on the nose. It hits with aggression but settles down nicely to offer raspberry, plum and savory herb flavors. Lively acidity allows for a long finish.",Spain,Garnacha
"Citrusy aromas suggest orange juice and grapefruit pith. This feels balanced, with apple, papaya, melon and banana flavors that feed into a sweet-tasting finish that's slightly mealy in feel and flavor. Good and tasty, but drink immediately.",Spain,Verdejo
"Raisiny, pruny aromas are all that register on this rubbery, jammy Garnacha. Flavors of sweet plum, raspberry and raisin are chunky, while the finish is raisiny in flavor and rubbery in feel.",Spain,Garnacha
Mild aromas of apple and generic white fruits are friendly enough. This has a monotone citrusy mouthfeel and flavors of tangerine and grapefruit. A bit of stalky corn and hay flavor rises up on the finish.,Spain,Chardonnay
"Initially this smells green and candied, with overripe and underripe aromas. The palate is chunky and bulky, while flavors of black fruits and green herbs finish grassy, with notes of oregano and tarragon. Overall this is heavy, extracted, sweet and sticky.",Spain,Red Blend
"Oaky, lean red-fruit aromas precede a scratchy, thin, resiny feeling palate. This tastes of oak on top of underdeveloped, stunted red berries, while the finish is herbal, woody tasting and heavily spiced.",Spain,Tempranillo
"Wheaty, flat aromas are indicators that this is losing its luster. The palate is chunky, with melon, mango and canned peach flavors. Best to wait for a newer vintage.",Spain,Albariño
"Tarry, stalky aromas fail to make much of a statement. This is high in acid and rugged in the mouth, with a mixture of herbal red-fruit flavors and distinct stalkiness. A grating finish is racy and hot.",Spain,Garnacha
"Stony minerality blends with raisin, leather and leafy berry aromas. This offers cheek-stanching citric acidity but not enough body to absorb it. Flavors of herbal red plum are choppy and turn gritty and fiery on the finish.",Spain,Red Blend
"Jumpy, young aromas of wet dog, plum, cherry and beet root set up a racy, high-acid palate. This tastes like medicinal raspberry and red plum, while the finish is light, scouring and fresh, with no oak character.",Spain,Mencía
"Animal hide and roasted, stalky aromas bring overall quality into question. This feels raw, choppy and drawing, while flavors of stalky berry fruits are leathery and roasted. Hard tannins and green notes influence the finish.",Spain,Tempranillo
"Funky aromas of animal fur and lively berry are not that inviting. In the mouth, this has a narrow feel and high acidity. Herbal, tart flavors of plum and red currant are almost sour, while the finish is on the green and herbal side.",Spain,Garnacha
"Rubbery aromas of pencil eraser are also smoky and odd, with the suggestion of clove. In the mouth this is pinched at first, then more oaky and creamy, but also rubbery. Roasted plum and stewed berry flavors finish tannic, with latent berry and cherry notes.",Spain,Tempranillo Blend
"Peachy aromas are less than perky, while in the mouth this is lemony, narrow and citric. Flavors of lemon and tangerine finish with stony mineral notes but also a drawing citric acidity.",Spain,Albariño
"Nectarine and white peach aromas are pithy, pointed and briny like sea water. This feels citrusy and pulpy, while zesty citric flavors of grapefruit, scallion and green herbs finish with residual pithy briny notes.",Spain,White Blend
"Burnt hay, grapefruit and waxy apple aromas lead to a palate with briny citrus flavors. Pithy grapefruit and orange flavors carry the finish, which is quick and light in weight.",Spain,Viura
"Aromatically, this is pretty good as dry apple and a pinch of green herbs work the nose. In the mouth, however, this is shear and citric, with zesty, almost sour flavors of tangerine, orange and grapefruit. The finish is similar, with thinly cut acidity causing tartness.",Spain,Sparkling Blend
"Grassy aromas of green tobacco and alfalfa come in front of a lightly abrasive palate. Herbal red-berry flavors are suggestive of minty cranberry, cherry and raspberry. This turns more fruity and less green on the finish.",Spain,Tempranillo
"Simple red-berry aromas are about as good as this gets. In the mouth, it's wet but dilute. Flavors of pithy citrus and grass finish with grapefruit and bitter flavors. This is basic at best and empty at worst.",Spain,Rosado
"This is as basic as Albariño gets, with aromas of sweet apple and pear. It feels round and a bit soft, with fleshy peach and dry melon flavors. The finish is pithy, with a white pepper note and an indication that the wine is starting to fade. Drink immediately.",Spain,Albariño
"Leather and berry aromas are welcoming and veer toward mint. It feels solid and textured, with lightly oaked, earthy flavors of meaty berry and vanilla. It tastes roasted and shows medium intensity on the finish. A good crianza from a marginal vintage.",Spain,Tinto Fino
"Yellow in color, with buttercup, wild flower and leesy white-fruit aromas, this feels spritzy, with melon, papaya and white peach flavors. It's mildly minerally and dry in flavor on the finish. Drink as soon as possible.",Spain,Albariño
Twizzler and other red candy aromas lead to a creamy feeling yet acidic palate that tastes like raspberry extract. Sharp acidity prevents what would otherwise be a cloying wine.,Spain,Tempranillo-Garnacha
"This smells like applesauce and pear, feeling tight as a drum on the palate, with sharp nectarine and apricot flavors. It's tart and crimped on the finish.",Spain,Viognier
"The nose smells flat, with a scant scent of peach. It feels acidic and lacks body, with flavors of sour apple, dried papaya and bitter almond. A blend of 50% Macabeo and 50% Airen.",Spain,White Blend
Loud citrus and berry aromas precede an overloaded palate that carries stalky plum flavors. Pickled tasting on the finish.,Spain,Rosé
"Salmon in color, this is pulpy and perfumed on the nose, with an artificial leaning. Overly foamy on the palate, this has a bitter, herbal flavor.",Spain,Garnacha
"Blackberry, black currant and toasty oak make for a dark, charred, manly nose. This is full but not heavy, with racy acidity and firm tannins. Blackberry, baked plum and savory flavors finish with notes of prune and leather as well as salted cured meat. Drink through 2022.",Spain,Tempranillo
"Condensed aromas of blackberry, prune and raisin get a boost of darkness and depth from coffee and mocha. This feels tannic and firm, with mocha, coconut and other oak-based flavors. Finishing flavors of vanilla and coconut are full, bulky and rich. Drink through 2019.",Spain,Tempranillo
"Fresh berry and plum aromas come with earth and herbal accents, which only boost the bouquet's complexity. The palate on this blend of Carignan, Garnacha and Syrah is structured and tight, with earthy, lightly toasted flavors of black cherry and plum. Spice, cocoa and oaky dryness define the finish. Drink through 2016.",Spain,Red Blend
"Floral, dusty aromas are encouraging, but this is overly citric and aggressive on the palate. Lemon, underripe stone fruit and minerally flavors turn tart and pithy on the finish.",Spain,Godello
"Bulky, stewy, jammy aromas of prune and raisin are an accurate indication of what's to come. This is pure prune juice, with mushy weight and sweet, syrupy flavors. Fig, raisin and chocolate flavors pop up on the finish, but overall this is soupy and drastically overripe.",Spain,Red Blend
"Dominant aromas of char and rubber give way to chocolaty oak and vanilla on what amounts to a confected, forced bouquet. This feels flush and oaky. Flavors of creamy oak, vanilla, milk chocolate and herbal berry finish resiny and woody.",Spain,Tempranillo
"With a tan tint and aromas of banana, undefined stone fruits and slight chemical, this is not all that inviting. The palate is on the flat side, while pithy flavors of melon and citrus finish with a bitter note of almond skins.",Spain,Viura-Chardonnay
"Earthy, mealy aromas don't bring much freshness to the nose. This is acidic and sharp on the palate, while flavors of sour plum and raspberry finish scouring.",Spain,Mencía
"On the nose, this is gaseous and mealy smelling, and the palate is flat, with flavors of pithy, bitter white fruits.",Spain,Chardonnay
"Saline and nettle aromas are a lot like underripe Sauvignon Blanc. This is a sour, cutting wine with flavors of lime, grapefruit and underripe passion fruit. The finish is overly acidic and citric.",Spain,Chardonnay
"Chemical notes sit atop aromas of peach pit and green banana. This is narrow in the mouth, with mealy melon and tropical fruit flavors. A peachy finish lacks finesse and more.",Spain,Viura-Chardonnay
"Sweet melon and peach aromas are candied. In the mouth, this is awkward, fizzy and cloying. The flavor profile has little positive to offer, while the finish turns bitter and grassy tasting.",Spain,Chardonnay
"The cold, rainy conditions of 2008 must have affected this wine. Vegetal aromas, vinegar and green notes drive the nose, while the flavor profile is briny and pickled to an extreme. High acidity and green flavors draw down the finish.",Spain,Tempranillo Blend
"Lively, piercing and powerful on the bouquet, which is solid as stone and delivers loads of black fruit and integrated oak. Feels full, round and deep, with full-out black fruit flavors strengthened by espresso, mocha and molasses. Toasty and deep on the finish, with tobacco and spice accents. Drink from 2012 through 2015.",Spain,Tinta de Toro
"Floral blueberry and black-currant aromas are jammy. Following the nose, this Garnacha feels chunky and low in acidity. Jammy flavors of blueberry and cassis end in a pudgy but friendly way. Drink this low-acid offering sooner rather than later.",Spain,Garnacha
"Straightforward peach, nectarine and apple aromas are fleshy, as is the palate, which puts out leesy creamy flavors of apple and green banana. A leesy, low-acid finish is plump and lacks follow through. Drink immediately.",Spain,Godello
"Untamed plum and cherry aromas are a bit strained. This everyday Garnacha is fresh and fruity in feel, with good but standard plum and cherry flavors. An edgy grating finish with a spot of oak character wraps this up.",Spain,Garnacha
"Citrus and peach pit aromas are mild. This is clean but basic on the palate with citrus, nectarine and lime flavors. A clean refreshing finish is a nice way to wrap things up. This is Sauvignon Blanc and Verdejo.",Spain,White Blend
"This is an ideal summer white. It's light but crisp on the bouquet, with whispy pear, apple and citrus aromas. Freshness reigns on the palate despite there being pulpy citrus flavors. Another wave of citrus carries the clear finish to a precise ending. Delicious white wine.",Spain,Albariño
"Like many Griñon wines, this is dense and earthy on the nose, with ripe berry and marzipan aromas. A round, layered, full-bodied palate shows hard, unresolved tannins and ripe, earthy flavors of blackberry, spice, herbs and chocolate. A firm, textured finish with integrated flavors is bullish but classy. Drink through 2018.",Spain,Cabernet Sauvignon
"This is a very nice aged Rioja with baked, earthy aromas of spice along with dried raspberry and plum. The mouthfeel is clean and solid in a normal, easy way, while flavors of plum and berry fruits carry notes of coconut and vanilla. A mild, warm, lightly baked finish cements this wine's status. Drink now.",Spain,Tempranillo
"A simple bouquet offers light apple and melon aromas, while the palate shows some malic acidity before it softens. Melon, apple and a touch of butter work together to create a mild flavor profile, while this is mellow and short on the finish.",Spain,Chardonnay
"Heavy oak aromas rest forcefully on top of plum and black cherry scents. This is fresh and proper in feel, with dominant oaky graininess and medicinal berry flavors that finish woody like a plank.",Spain,Garnacha Blend
"Despite not very good harvest conditions, Aurus is still generous in 2008. Smells lush and dense, with boysenberry, creamy oak, rubber and charred aromas. Layered and tannic feeling, with blackberry, chocolate and dark spice flavors. Toasty and like digging into a fudge cake on the finish, with a deep feel and clarity. Drink now through 2018.",Spain,Tempranillo Blend
"Oaky on first take, then earthy and weighty, with black fruit aromas and minerally notes. Feels tight initially, but with air it softens and soon come flavors of thyme, herbal berry and chocolate. Crisp and nicely balanced, with a solid finish. Almost what you'd call a value Priorat.",Spain,Red Blend
"Familiar aromas of black fruit, licorice and earth get it going, followed by saturated body weight that reaches all corners of the mouth while displaying earthy, chunky blackberry and black cherry flavors. Flush, comfortable and slightly heavy. Drink now through 2012.",Spain,Tempranillo
"From Miguel Angel de Gregorio of Finca Allende, this is a nice, thorough, creamy white with aromas of white fruits, vanilla and straw. The palate has spiced peach, apple and pear flavors, and the finish is exceedingly creamy and deep. Shows elegance and adequate power, but needs to be drunk soon.",Spain,Viura
"Good, pure, dark and teetering on powerful, with strong, rich black plum aromas. The mouth is staunch and balanced, with full dark fruit flavors of blackberry along with bitter chocolate. Solid and clean throughout. A winner in its price range.",Spain,Tempranillo
"Smooth, fresh aromas suggest apple blossoms and sea air. The palate offers a proper zesty mouthfeel, zingy acidity, natural creaminess and nice flavors of green apple, sour melon and pineapple. At the end, lemony zap and lemongrass grace the finish.",Spain,Albariño
"Simple light aromas of vanilla and lees set up a round palate with ample acidic kick. For the most part, this is chunky and weighty, with apple and peach flavors, while mild bitterness in the form of peach pit closes this out.",Spain,Verdejo
"Dusty, citrusy aromas of pineapple turn more tropical with airing. This is 60% Garnacha Blanca, 30% Chardonnay and 10% Sauvignon Blanc, and it's a bit flat on the palate. Flavors of white fruits are candied but also bitter, while this finishes with honeyed sweetness offset by pithy bitterness.",Spain,White Blend
"Radiator dust, lees and vanilla cookie aromas precede a chunky flat palate. Flavors of lime, melon and apple are as basic as it gets, while the finish is bland except for a hint of pithy bitterness.",Spain,Macabeo
"Given the difficulties of this cool vintage, this is an excellent wine with dark berry, herb, spice and vanilla aromas. It's firm on the palate like most 2008s, with flavors of blackberry, chocolate and oak spice leading to an earthy tasting finish. Drink now–2016.",Spain,Tempranillo
"Teso la Monja picked a good vintage to introduce this entry-level Toro. Romanico is big and candied on the nose, with floral berry aromas, milk chocolate and a touch of raisin. On the palate, spunky berry fruit flavors blend with juniper notes, while the finish delivers herbal leftovers, a pinch more juniper and commendable length and smoothness.",Spain,Tinta de Toro
"This has a lot of good things going in its favor, for example depth, power and richness. It's also raisiny and oaky, with stewy core flavors of baked berry, cassis, roasted meat and vanilla. The finish is chewy and thick, with vanilla and pastry flavors along with grating tannins. By no means is this wine perfect, but it offers a lot of what's good about Toro; drink now.",Spain,Tinta de Toro
"A nice, floral, medium-bodied Rioja that should not steer anyone wrong. The nose is harmonized and not overpowering, while the feel is good and easy and the flavors of berry, plum and mild chocolaty oak work well together. Holds its line on the finish as well.",Spain,Tempranillo
"Broad, bold and buttery, with aromas of toasted white peach, flower blossom, vanilla and mild oxidation. The blend is 65% Viura with Malvasia and white Garnacha, and overall it's a round, stout, creamy wine with apple, vanilla and toasty, resiny flavors and finishing notes. A little heavy and sticky but nice for barrel-aged white Rioja.",Spain,White Blend
"Floral lilac and plum aromas greet you, followed by a chunky, frothy palate with crisp core acidity and toasty flavors of baked cherry and caramel. Finishes smooth and long, with peppery notes and dryness.",Spain,Pinot Noir
"Rubbery but fresh smelling, with sharp acidity that creates big-time juiciness but also an angular feel. Tastes of zippy, tangy red fruits that are crisp and sizzle away. Gets a bit more deep and earthy on the finish.",Spain,Tempranillo
"Quite strange and funky smelling, with uncommon grass, floral, hickory and blueberry aromas. The palate feels fine but has a sweet, faux-weedy core flavor that's offset by candied berry flavors. Tastes of licorice and lactic creaminess on the finish.",Spain,Tempranillo-Garnacha
"Funky and smelling of pine and tarragon. That aromatic sharpness carries straight to the palate, where the feel is narrow and the flavors are short and tangy, with little to no big-time berry fruit. Simply an acceptable underperformer that's tough and sharp.",Spain,Tempranillo
"Stone-fruit and apple aromas grace a mild bouquet. This feels solid but generic, with chunky peach, citrus and pithy flavors. On the finish, this Verdejo becomes more waxy and heavy in feel.",Spain,Verdejo
"Briny, leesy aromas are funky and sweaty, not clean and lean like most Txakoli. Snappy, citric and decidedly not spritzy, this tastes of lemon, underripe nectarine and tart green apple. A cleansing seltzer-like finish is the closing act.",Spain,Hondarrabi Zuri
"Aromas of raw oak, eucalyptus and gritty berry fruits are hot and leafy. This Tempranillo-based blend feels choppy with aggressive grating tannins. Flavors of baked roasted berry fruits are also herbal, green and leafy, while this finishes crisp, raw and tomatoey in flavor.",Spain,Tempranillo Blend
"Shy honeyed aromas of tropical fruits wind up at banana. This feels fleshy and not direct, while soft powdery flavors of leesy melon and papaya finish with notes of oxidation, as if this is already starting to fade.",Spain,Godello
"This wine is fresh as can be, with loads of friendly black-fruit aromas upfront. The palate is juicy and bright, not the least bit hard or tannic, with huge flavors of berry fruits, baking spices, chocolate and even some bacon. This delivers a lot for the price.",Spain,Garnacha
"Tarry blackberry and plum aromas are good and lusty. This is a round, medium-bodied blend of Garnacha, Carignan and Syrah that's ripe but not overpowering. Flavors of berry and plum are red in nature and finish with spicy notes and a good feel.",Spain,Red Blend
"For Toro, this is earthy and slightly herbal as opposed to ripe and jammy. Aromas of mulch, leather and herbal berry lead into a firm, rocky palate with rooty flavors of burnt leaves, black fruits and oregano. A tight, compact finish with moderate flavors is a bit closed and hard.",Spain,Tinta de Toro
"A bit earthy and leafy on the nose and palate, with lightweight strawberry and raspberry aromas and flavors. The wine has a clacky, almost metallic feel to it along with hints of tobacco and green bean. Vanilla and sweetness push the finish, which is also slightly green. Hails from Cádiz in southwestern Spain.",Spain,Cabernet Sauvignon-Syrah
"A steal for six bucks; the nose is floral and black, but under control. Meanwhile, the palate is bouncy, round and balanced, with juicy black plum and wild berry flavors. Clean and solid.",Spain,Grenache
"Pink meets orange in terms of hue, while the nose gives a nice blend of sweet and snappy berry and citrus. The palate has a little weight and heft along with dry, white-peppery flavors of nectarine and apricot. Pithy, citrusy and healthy throughout. Good wine for the money.",Spain,Rosé
"Sort of scratchy and generic on the nose, with reasonably fresh red fruit aromas. The mouthfeel is angular and clipped by piercing acidity, while the flavors are of nice but regular black cherry and plum. Fairly juicy and fresh as a whole.",Spain,Tempranillo
"Waxy, peachy aromas are less than fresh, and the palate follows that lead via soft, pithy flavors of orange and melon. Shows little grip or structure for Godello and the finish fails to bring it home with kick or pop. Already past its prime. Tasted twice.",Spain,Godello
"Smells earthy, murky and a little raisiny, and then in the mouth it scratches with grating tannins in support of floral cherry and tart red fruit flavors. Finishes sort of hollow and sour; standard issue at best.",Spain,Tempranillo
"A fine Cava with easygoing white fruit aromas and a cushioned, full and round palate. Tastes rich and honeyed, with toasty, nutty, dry apple and pear flavors. Elegant and complex, with texture and style.",Spain,Sparkling Blend
"A traditional style of Rioja with earthy, peppery, dry aromas in front of a healthy, lively palate. Tastes like vanilla and buttery oak on top of zesty but restrained raspberry and red plum. Shows spice, character and a wholeness that makes it a winner. Drink now through 2015.",Spain,Tempranillo
"Yellow in color, with heavy dusty flat aromas of apple and citrus, this feels low on acidity and thus flat. Cidery apple and lime flavors finish chunky and leesy with an oily texture.",Spain,Albariño
Dusty apple aromas come with a vanilla-like note of animal crackers. A plump but diluted palate shows mediocre wan flavors of nectarine and apple in front of a flat finish that's losing steam. Drink immediately or wait for a new vintage.,Spain,Albariño
"This is smelling a bit oxidized and wayward. Spritzy in feel, this blend of 70% Albariño, 15% Loureira and 15% Treixadura tastes pithy and like citrus skins. Pithy, borderline bitter flavors of white grapefruit drive the finish.",Spain,White Blend
"This blend of Viura and Malvasia is mild, low on aromatic punch and suggestive of saline solution. This is friendly but flat in feel, with modest structure. Leesy flavors of peach and apple finish chalky and grabby.",Spain,White Blend
"Waxy peach and apple aromas come with a leesy cookie-like component. This is 50% each Sauvignon Blanc and Garnacha Blanca, and it feels both plump and watery. Flavors of quince and apple are diluted and distant, while the finish is mild.",Spain,White Blend
"Fleshy aromas of melon and peach are leesy and soft. This is more angular and acidic on the palate, which fails to fan out. Nectarine and salty briny flavors finish with papaya and peach notes.",Spain,Sauvignon Blanc-Chardonnay
"Boysenberry and blueberry aromas mixed with oak scents amount to an inviting, solid bouquet. In the mouth, this is healthy, full-bodied and showing plenty of kick. Flavors of berry fruits, plum and roasted notes end with jammy berry flavors and a good texture. Drink now–2015.",Spain,Tempranillo
