Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Rating
Sega Superstars,PS2,2004.0,Misc,Sega,0.08,0.06,0.0,0.02,T
Cesar Millan's Dog Whisperer,DS,2008.0,Simulation,Ubisoft,0.04,0.0,0.0,0.0,E
Antz Extreme Racing,XB,2002.0,Racing,Empire Interactive,0.01,0.0,0.0,0.0,E
Wild Wild Racing,PS2,2000.0,Racing,Interplay,0.1,0.08,0.0,0.03,E
NCAA GameBreaker 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,E
Ys Seven,PSP,2009.0,Role-Playing,Falcom Corporation,0.14,0.0,0.08,0.02,T
Snoopy vs the Red Baron,PSP,2006.0,Adventure,Namco Bandai Games,0.04,0.0,0.0,0.0,E10+
Dora the Explorer: Journey to the Purple Planet,PS2,2005.0,Adventure,Global Star,0.12,0.09,0.0,0.03,EC
IL-2 Sturmovik: Birds of Prey,X360,2009.0,Simulation,505 Games,0.23,0.23,0.0,0.05,T
Lego Star Wars: The Force Awakens,PSV,2016.0,Action,Warner Bros. Interactive Entertainment,0.01,0.06,0.01,0.02,E10+
State of Emergency,PS2,2002.0,Action,Take-Two Interactive,0.86,0.67,0.0,0.22,M
Riding Spirits,PS2,2002.0,Racing,BAM! Entertainment,0.13,0.1,0.0,0.03,E
UEFA Euro 2004: Portugal,PS2,2004.0,Sports,Electronic Arts,0.07,0.05,0.0,0.02,E
TimeSplitters 2,GC,2002.0,Shooter,Eidos Interactive,0.34,0.09,0.0,0.01,T
Motocross Mania 3,PS2,2004.0,Racing,Take-Two Interactive,0.05,0.04,0.0,0.01,T
The Thing,XB,2002.0,Adventure,Vivendi Games,0.15,0.04,0.0,0.01,M
MetropolisMania,PS2,2001.0,Strategy,Natsume,0.04,0.03,0.0,0.01,T
Thrillville,PSP,2006.0,Strategy,Atari,0.18,0.0,0.0,0.02,E10+
Age of Empires III: The Asian Dynasties,PC,2007.0,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,T
Imagine: Fashion Party,Wii,2009.0,Simulation,Ubisoft,0.24,0.0,0.0,0.02,E
SEGA Classics Collection,PS2,2005.0,Misc,Sega,0.21,0.16,0.0,0.05,T
Karaoke Revolution Presents American Idol Encore,PS2,2008.0,Misc,Konami Digital Entertainment,0.19,0.15,0.0,0.05,E
Fate/Extella: The Umbral Star,PS4,2016.0,Action,PQube,0.0,0.0,0.11,0.0,T
WWE SmackDown! vs. RAW 2006,PSP,2005.0,Fighting,THQ,0.36,0.0,0.0,0.03,T
Area 51,XB,2005.0,Shooter,Midway Games,0.22,0.06,0.0,0.01,M
Sniper: Art of Victory,PC,2008.0,Shooter,City Interactive,0.0,0.45,0.0,0.03,M
Lost Odyssey,X360,2007.0,Role-Playing,Microsoft Game Studios,0.45,0.26,0.11,0.08,T
Gothic Universe,PC,2007.0,Role-Playing,JoWood Productions,0.0,0.03,0.0,0.01,M
Speed Kings,XB,2003.0,Racing,Acclaim Entertainment,0.04,0.01,0.0,0.0,E
NBA Live 06,XB,2005.0,Sports,Electronic Arts,0.57,0.04,0.0,0.03,E
Manhunt 2,PS2,2007.0,Action,Take-Two Interactive,0.27,0.21,0.0,0.07,M
Amped: Freestyle Snowboarding,XB,2001.0,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,E
MLB 10: The Show,PS2,2010.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,E
Backyard Wrestling: Don't Try This at Home,PS2,2003.0,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,M
Anubis II,Wii,2007.0,Platform,Metro 3D,0.06,0.0,0.0,0.0,E
Littlest Pet Shop,Wii,2008.0,Simulation,Electronic Arts,0.33,0.03,0.0,0.03,E
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011.0,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,T
BlazBlue: Calamity Trigger,PS3,2009.0,Fighting,PQube,0.36,0.1,0.06,0.06,T
Tomb Raider: Legend,GC,2006.0,Action,Eidos Interactive,0.06,0.02,0.0,0.0,T
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.35,1.2,0.74,E
Beaterator,PSP,2009.0,Misc,Take-Two Interactive,0.06,0.02,0.0,0.02,E
True Crime: New York City,XB,2005.0,Action,Activision,0.21,0.06,0.0,0.01,M
Dreamfall: The Longest Journey,XB,2006.0,Adventure,Empire Interactive,0.03,0.01,0.0,0.0,M
F1 2015,PS4,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,E
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,2.4,1.01,0.0,0.36,E10+
SSX,X360,2012.0,Sports,Electronic Arts,0.38,0.26,0.0,0.06,E
NHL 09,PS3,2008.0,Sports,Electronic Arts,0.29,0.02,0.0,0.03,E10+
de Blob,Wii,2008.0,Platform,THQ,0.49,0.37,0.0,0.1,E
Metroid Prime,GC,2002.0,Shooter,Nintendo,1.96,0.67,0.1,0.09,T
Build-A-Bear Workshop: Welcome to Hugsville,DS,2010.0,Misc,Game Factory,0.14,0.0,0.0,0.01,E
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,T
.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,Atari,0.14,0.11,0.17,0.04,T
Dragon Quest Monsters: Joker 2,DS,2010.0,Role-Playing,Square Enix,0.09,0.07,1.24,0.02,E
Frontlines: Fuel of War,PC,2008.0,Shooter,THQ,0.0,0.02,0.0,0.0,T
Sonic Heroes,GC,2003.0,Platform,Sega,1.05,0.44,0.06,0.04,E
Star Ocean: Till The End of Time,PS2,2003.0,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,T
World of Outlaws: Sprint Cars,X360,2010.0,Racing,THQ,0.17,0.0,0.0,0.01,E
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,M
Code of Princess,3DS,2012.0,Action,Agatsuma Entertainment,0.16,0.0,0.03,0.01,T
Mister Slime,DS,2008.0,Action,SouthPeak Games,0.05,0.0,0.0,0.0,E
X-Men: Reign of Apocalypse,GBA,2001.0,Action,Activision,0.2,0.08,0.0,0.01,E
Dark Messiah of Might and Magic Elements,X360,2008.0,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,M
Dragon Blade: Wrath of Fire,Wii,2007.0,Action,D3Publisher,0.17,0.0,0.0,0.01,T
MySims,DS,2007.0,Simulation,Electronic Arts,1.58,1.59,0.08,0.41,E
CT Special Forces 2: Back in the Trenches,GBA,2003.0,Shooter,LSP Games,0.01,0.0,0.0,0.0,T
50 Cent: Bulletproof,PS2,2005.0,Action,Vivendi Games,0.85,0.76,0.0,0.16,M
Mario Golf: World Tour,3DS,2014.0,Sports,Nintendo,0.15,0.13,0.17,0.03,E
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016.0,Action,Activision,0.03,0.01,0.0,0.0,T
Red Dead Revolver,XB,2004.0,Shooter,Take-Two Interactive,0.4,0.12,0.0,0.02,M
Jake Power: Fireman,DS,2008.0,Adventure,Ubisoft,0.08,0.35,0.0,0.05,E
Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.85,0.38,0.03,0.24,M
The Godfather II,X360,2009.0,Action,Electronic Arts,0.47,0.23,0.01,0.08,M
Wipeout: In The Zone,X360,2011.0,Misc,Activision,0.87,0.0,0.0,0.06,E10+
Carnival Island,PS3,2011.0,Misc,Sony Computer Entertainment,0.13,0.06,0.0,0.04,E
Harvey Birdman: Attorney at Law,PSP,2008.0,Adventure,Capcom,0.09,0.0,0.0,0.01,T
Xiaolin Showdown,DS,2006.0,Action,Konami Digital Entertainment,0.05,0.0,0.0,0.0,E
He-Man: Power of Grayskull,GBA,2002.0,Action,TDK Mediactive,0.11,0.04,0.0,0.0,E
The Elder Scrolls Online,PC,2014.0,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,M
SEGA Bass Fishing Duel,PS2,2002.0,Sports,Sega,0.09,0.07,0.0,0.02,E
Otogi 2: Immortal Warriors,XB,2003.0,Action,Sega,0.04,0.01,0.0,0.0,T
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,T
Kid Adventures: Sky Captain,Wii,2010.0,Action,Unknown,0.09,0.04,0.0,0.01,E
Imagine: Makeup Artist,DS,2020.0,Simulation,Ubisoft,0.27,0.0,0.0,0.02,E
Raiden IV,X360,2008.0,Shooter,Moss,0.1,0.0,0.01,0.01,E10+
50 Classic Games,DS,2009.0,Misc,Destineer,0.5,0.0,0.0,0.04,E
Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.33,0.23,0.0,0.1,M
Get On Da Mic,PS2,2004.0,Misc,Eidos Interactive,0.07,0.06,0.0,0.02,T
Mat Hoffman's Pro BMX,GBA,2001.0,Sports,Activision,0.19,0.07,0.0,0.0,E
Murdered: Soul Suspect,PS4,2014.0,Action,Square Enix,0.09,0.16,0.02,0.05,M
Rocky,PS2,2002.0,Fighting,Rage Software,0.42,0.33,0.0,0.11,T
Monster House,DS,2006.0,Adventure,THQ,0.14,0.0,0.0,0.01,E
pro evolution soccer 2011,PS2,2010.0,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,E
Namco Museum Remix,Wii,2007.0,Misc,Atari,0.68,0.0,0.0,0.05,E
Metro 2033,PC,2010.0,Shooter,THQ,0.0,0.19,0.0,0.05,M
Madden NFL 2005,XB,2004.0,Sports,Electronic Arts,1.61,0.03,0.0,0.08,E
101-in-1 Sports Party Megamix,Wii,2010.0,Sports,Nordcurrent,0.02,0.0,0.0,0.0,E10+
Supercar Street Challenge,PS2,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,E
Beyblade VForce: Ultimate Blader Jam,GBA,2003.0,Action,Atari,0.52,0.19,0.0,0.01,E
Trivial Pursuit unhinged,XB,2004.0,Misc,Atari,0.07,0.02,0.0,0.0,T
World of Final Fantasy,PS4,2016.0,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,E10+
Wrath Unleashed,PS2,2004.0,Strategy,LucasArts,0.04,0.03,0.0,0.01,T
Naval Ops: Warship Gunner,PS2,2003.0,Simulation,Tecmo Koei,0.05,0.04,0.0,0.01,T
Drawn To Life: SpongeBob SquarePants Edition,DS,2008.0,Adventure,THQ,0.99,0.35,0.0,0.13,E
Attack on Titan: Humanity in Chains,3DS,2013.0,Action,Screenlife,0.0,0.0,0.42,0.0,M
Ocean Commander,Wii,2009.0,Simulation,Valcon Games,0.02,0.0,0.0,0.0,E
The Magic School Bus: Oceans,DS,2011.0,Adventure,Scholastic Inc.,0.2,0.0,0.0,0.02,E
Tony Hawk's Underground 2,GBA,2004.0,Sports,Activision,0.35,0.13,0.0,0.01,E
Theme Park,DS,2007.0,Simulation,Electronic Arts,0.0,0.02,0.03,0.0,E
The Legend of Heroes: Trails of Cold Steel,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.05,0.02,0.12,0.01,T
Midnight Mysteries: The Edgar Allan Poe Conspiracy,DS,2010.0,Adventure,Foreign Media Games,0.08,0.03,0.0,0.01,T
Resident Evil: Survivor,PS,2000.0,Action,Eidos Interactive,0.23,0.15,0.29,0.05,M
Digimon Digital Card Battle,PS,1999.0,Strategy,Namco Bandai Games,0.06,0.04,0.0,0.01,T
Dance Central 2,X360,2011.0,Misc,Microsoft Game Studios,1.45,0.41,0.01,0.16,T
Shape Up,XOne,2014.0,Misc,Ubisoft,0.08,0.09,0.0,0.01,E
Winter Sports: The Ultimate Challenge,Wii,2007.0,Sports,RTL,0.45,0.67,0.0,0.12,E
ATV Offroad Fury 3,PS2,2004.0,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,E
Bejeweled 3,PC,2010.0,Puzzle,PopCap Games,0.02,0.05,0.0,0.01,E
Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,E
Tony Hawk's Pro Skater 3,XB,2002.0,Sports,Activision,0.34,0.18,0.0,0.02,T
Pac-Man World 3,PS2,2005.0,Platform,Namco Bandai Games,0.1,0.08,0.0,0.03,E
Crimson Sea,XB,2002.0,Action,Tecmo Koei,0.04,0.01,0.04,0.0,T
Fight Night Round 3,XB,2006.0,Fighting,Electronic Arts,0.26,0.06,0.0,0.01,T
"Sakura Wars: So Long, My Love",PS2,2005.0,Role-Playing,Sega,0.07,0.05,0.15,0.02,T
Igor: The Game,Wii,2008.0,Adventure,CDV Software Entertainment,0.09,0.0,0.0,0.01,E
Naruto Ultimate Collection,PS2,2008.0,Misc,Namco Bandai Games,0.06,0.04,0.0,0.01,T
Supreme Commander 2,PC,2010.0,Strategy,Square Enix,0.0,0.15,0.0,0.04,E10+
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,M
XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.27,0.36,0.0,0.08,M
NFL 2K3,GC,2002.0,Sports,Sega,0.17,0.04,0.0,0.01,E
SSX Tricky,GC,2001.0,Sports,Electronic Arts,0.42,0.11,0.0,0.01,E
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011.0,Role-Playing,Ghostlight,0.28,0.01,0.06,0.03,T
Mystic Heroes,GC,2002.0,Action,Tecmo Koei,0.03,0.01,0.04,0.0,T
Tom Clancy's Ghost Recon,GC,2003.0,Shooter,Ubisoft,0.11,0.03,0.0,0.0,M
MySims Agents,Wii,2009.0,Adventure,Electronic Arts,0.61,0.32,0.0,0.1,E
L.A. Rush,XB,2005.0,Racing,Midway Games,0.11,0.03,0.0,0.01,T
Dungeon Keeper 2,PC,1999.0,Action,Electronic Arts,0.0,0.05,0.0,0.01,M
Batman: Arkham Origins,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0.0,0.17,T
"Ed, Edd n Eddy: The Mis-Edventures",GC,2005.0,Platform,Midway Games,0.19,0.05,0.0,0.01,E
Pro Evolution Soccer 2010,Wii,2009.0,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,E
Final Fantasy IV,DS,2007.0,Simulation,Square Enix,0.51,0.04,0.62,0.05,E10+
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,T
Dungeon Siege III,X360,2011.0,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,T
Sniper Elite V2,X360,2012.0,Shooter,505 Games,0.46,0.28,0.02,0.07,M
Dance Dance Revolution SuperNOVA,PS2,2006.0,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,E10+
Cool Boarders 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.23,0.16,0.0,0.03,E
Battle Engine Aquila,XB,2003.0,Shooter,Atari,0.01,0.0,0.0,0.0,T
Puzzle City,DS,2009.0,Puzzle,Destineer,0.02,0.0,0.0,0.0,E
Monster Jam: Urban Assault,PSP,2008.0,Racing,Activision,0.08,0.0,0.0,0.01,E
Smart Bomb,PSP,2005.0,Puzzle,Eidos Interactive,0.07,0.0,0.0,0.01,E10+
Satisfashion,Wii,2010.0,Misc,Destineer,0.01,0.0,0.0,0.0,E
Dr. Muto,GC,2002.0,Platform,Midway Games,0.02,0.01,0.0,0.0,T
High Rollers Casino,XB,2004.0,Misc,Mud Duck Productions,0.1,0.03,0.0,0.0,E
Disney's Donald Duck: Goin' Quackers,GC,2002.0,Platform,Ubisoft,0.03,0.01,0.0,0.0,E
Cake Mania: Main Street,DS,2011.0,Simulation,Majesco Entertainment,0.08,0.0,0.0,0.01,E10+
Steambot Chronicles,PS2,2005.0,Role-Playing,505 Games,0.02,0.01,0.0,0.0,T
Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,T
American Idol,GBA,2003.0,Misc,Codemasters,0.15,0.06,0.0,0.0,E
Killzone 2,PS3,2009.0,Shooter,Sony Computer Entertainment,1.4,1.06,0.08,0.47,M
GRID 2,PS3,2013.0,Racing,Codemasters,0.07,0.22,0.01,0.08,E
Legendary,X360,2008.0,Shooter,Atari,0.08,0.15,0.0,0.03,M
Need for Speed Underground 2,XB,2004.0,Racing,Electronic Arts,1.38,0.8,0.0,0.1,E
Forgotten Realms: Demon Stone,PS2,2004.0,Action,Atari,0.1,0.08,0.0,0.03,T
Magicka Collection,PC,2011.0,Adventure,Unknown,0.0,0.02,0.0,0.0,T
Batman: Return to Arkham,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0.0,0.01,T
Karaoke Revolution Volume 3,PS2,2004.0,Misc,Konami Digital Entertainment,0.16,0.12,0.0,0.04,E
Kinectimals,X360,2010.0,Simulation,Microsoft Game Studios,1.02,0.46,0.0,0.13,E
Luxor: Pharaoh's Challenge,DS,2007.0,Puzzle,Funsta,0.0,0.01,0.0,0.0,E
NBA ShootOut 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,E
EVE: Valkyrie,PS4,2016.0,Shooter,CCP,0.03,0.05,0.0,0.02,T
Mortal Kombat,PSV,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.42,0.13,0.0,0.1,M
Petz: Hamsterz Bunch,PSP,2009.0,Simulation,Ubisoft,0.06,0.0,0.0,0.01,E
The Lord of the Rings: The Battle for Middle-Earth,PC,2004.0,Strategy,Electronic Arts,0.01,0.06,0.0,0.01,T
Dokuro,PSV,2012.0,Action,GungHo,0.0,0.0,0.01,0.0,E10+
Calvin Tucker's Redneck Jamboree,Wii,2008.0,Misc,Zoo Games,0.28,0.0,0.0,0.02,E10+
Titanfall 2,XOne,2016.0,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,M
Basketball Hall of Fame Ultimate Hoops Challenge,Wii,2010.0,Sports,Zoo Games,0.06,0.0,0.0,0.0,E
Catwoman,GBA,2004.0,Action,Electronic Arts,0.03,0.01,0.0,0.0,T
Senran Kagura: Estival Versus,PS4,2015.0,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,M
My Make-Up,DS,2008.0,Misc,Oxygen Interactive,0.08,0.0,0.0,0.01,E
Disney's Kim Possible 2: Drakken's Demise,GBA,2004.0,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,E
Tropico 4: Modern Times,PC,2012.0,Strategy,Kalypso Media,0.0,0.02,0.0,0.0,T
NBA 06,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,E
Digimon World Championship,DS,2008.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,E
Ninjabread Man,Wii,2007.0,Action,Popcorn Arcade,0.07,0.0,0.0,0.01,E
TouchMaster: Connect,DS,2010.0,Puzzle,Warner Bros. Interactive Entertainment,0.1,0.16,0.0,0.03,E
Barbie and Her Sisters Puppy Rescue,3DS,2015.0,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,E
The Bureau: XCOM Declassified,PS3,2013.0,Shooter,Take-Two Interactive,0.08,0.13,0.0,0.04,M
Resident Evil Outbreak File #2,PS2,2004.0,Action,Capcom,0.19,0.15,0.17,0.05,M
Sonny with a Chance,DS,2010.0,Action,Disney Interactive Studios,0.12,0.02,0.0,0.01,E
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009.0,Action,505 Games,0.11,0.01,0.05,0.01,E10+
The Peanuts Movie: Snoopy's Grand Adventure,3DS,2015.0,Action,Activision,0.0,0.03,0.0,0.0,E
Family Fun Football,Wii,2009.0,Sports,Tecmo Koei,0.1,0.0,0.0,0.01,E
LEGO Marvel's Avengers,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,E10+
Backyard Baseball,GC,2003.0,Sports,Infogrames,0.1,0.03,0.0,0.0,E
Little Bears,DS,2009.0,Simulation,RTL,0.03,0.0,0.0,0.0,E
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006.0,Action,Disney Interactive Studios,0.15,0.0,0.0,0.01,E
Sherlock Holmes and the Mystery of Osborne House,DS,2010.0,Adventure,Focus Home Interactive,0.07,0.14,0.0,0.03,E10+
Marvel Super Hero Squad: The Infinity Gauntlet,X360,2010.0,Action,THQ,0.12,0.02,0.0,0.01,E10+
The Lord of the Rings: The Fellowship of the Ring,PS2,2002.0,Action,Black Label Games,0.59,0.46,0.0,0.15,T
Karaoke Revolution Party,PS2,2005.0,Misc,Konami Digital Entertainment,0.15,0.12,0.0,0.04,E10+
Imagine: Teacher,DS,2008.0,Simulation,Ubisoft,0.7,0.82,0.0,0.19,E
Ultimate Board Game Collection,PS2,2006.0,Misc,Xplosiv,0.01,0.0,0.0,0.0,E
Sonic's Ultimate Genesis Collection,X360,2009.0,Misc,Sega,0.85,0.43,0.0,0.13,E10+
Blokus Portable: Steambot Championship,PSP,2006.0,Puzzle,Majesco Entertainment,0.03,0.0,0.0,0.0,E
Madden NFL 2001,PS,2000.0,Sports,Electronic Arts,1.58,0.05,0.0,0.04,E
Mafia III,PS4,2016.0,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,M
World Destruction League: Thunder Tanks,PS2,2000.0,Action,3DO,0.08,0.07,0.0,0.02,T
WWE Day of Reckoning 2,GC,2005.0,Fighting,THQ,0.26,0.07,0.0,0.01,T
Unchained Blades,PSP,2011.0,Role-Playing,FuRyu,0.0,0.0,0.06,0.0,T
Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,0.13,0.24,0.1,0.07,M
Grease,DS,2010.0,Misc,505 Games,0.1,0.0,0.0,0.01,E10+
JASF: Jane's Advanced Strike Fighters,PC,2011.0,Simulation,Deep Silver,0.02,0.01,0.0,0.0,T
Ape Escape: On the Loose,PSP,2005.0,Platform,Sony Computer Entertainment,0.52,0.0,0.12,0.05,E
Death Jr.,PSP,2005.0,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,T
Bust A Groove 2,PS,1999.0,Misc,Enix Corporation,0.04,0.03,0.18,0.02,E
The Witcher 2: Assassins of Kings,X360,2012.0,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,M
Puppy Luv: Spa and Resort,DS,2007.0,Simulation,Activision,0.4,0.0,0.0,0.03,E
Master of Illusion,DS,2006.0,Puzzle,Nintendo,0.16,0.0,0.26,0.01,E
TOCA Race Driver 3,PC,2006.0,Racing,Codemasters,0.0,0.02,0.0,0.0,E10+
PixelJunk Monsters Deluxe,PSP,2010.0,Strategy,Sony Computer Entertainment,0.11,0.0,0.0,0.01,E
Tetris Axis,3DS,2011.0,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,E
Maximo vs Army of Zin,PS2,2003.0,Platform,Capcom,0.1,0.08,0.0,0.03,T
Call of Duty: World at War,DS,2008.0,Shooter,Activision,0.56,0.25,0.0,0.08,T
Vertigo,Wii,2009.0,Strategy,Playlogic Game Factory,0.05,0.0,0.0,0.0,E
Sonic Adventure 2,DC,2001.0,Platform,Sega,0.0,0.0,0.12,0.0,E
Grabbed by the Ghoulies,XB,2003.0,Action,Microsoft Game Studios,0.11,0.03,0.0,0.01,E
Pulse Racer,XB,2003.0,Racing,Jaleco,0.01,0.0,0.0,0.0,E
Bloody Roar: Primal Fury,GC,2002.0,Fighting,Activision,0.14,0.04,0.0,0.0,T
Brink,X360,2011.0,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,T
Bladestorm: Nightmare,PS4,2015.0,Action,Tecmo Koei,0.08,0.04,0.03,0.02,T
Diablo III,PC,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,M
Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,Electronic Arts,0.13,0.2,0.0,0.07,T
NiGHTS: Journey of Dreams,Wii,2007.0,Platform,Sega,0.32,0.02,0.04,0.03,E
Pro Evolution Soccer 2016,PS4,2015.0,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,E
Sudoku Gridmaster,DS,2006.0,Puzzle,Nintendo,0.13,0.02,0.0,0.01,E
Ultimate Mortal Kombat,DS,2007.0,Fighting,Midway Games,0.07,0.01,0.0,0.01,M
Valkyrie Profile: Lenneth,PSP,2006.0,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,T
Disney's PK: Out of the Shadows,GC,2002.0,Platform,Ubisoft,0.04,0.01,0.0,0.0,E
Alone in the Dark: Inferno,PS3,2008.0,Adventure,Atari,0.09,0.03,0.0,0.02,M
Star Wars Episode II: Attack of the Clones,GBA,2002.0,Action,THQ,0.55,0.2,0.0,0.01,E
Dragon Age II,X360,2011.0,Action,Electronic Arts,0.72,0.29,0.01,0.09,M
Ener-G Horse Riders,DS,2008.0,Sports,Ubisoft,0.14,0.01,0.0,0.01,E
The King of Fighters NeoWave,XB,2006.0,Fighting,SNK Playmore,0.02,0.0,0.0,0.0,T
Yaiba: Ninja Gaiden Z,X360,2014.0,Action,Tecmo Koei,0.03,0.01,0.0,0.0,M
SoulCalibur V,PS3,2012.0,Fighting,Namco Bandai Games,0.35,0.23,0.07,0.09,T
Mega Man X6,PS,2001.0,Action,Capcom,0.14,0.1,0.16,0.03,E
Van Helsing,XB,2007.0,Action,Activision,0.13,0.04,0.0,0.01,T
My Fashion Studio,DS,2007.0,Misc,Ubisoft,0.41,0.0,0.0,0.03,E
Sing Party,WiiU,2012.0,Misc,Nintendo,0.13,0.12,0.0,0.02,E10+
Pokemon Art Academy,3DS,2014.0,Misc,Nintendo,0.18,0.12,0.16,0.03,E
Barbarian,PS2,2002.0,Fighting,Titus,0.07,0.06,0.0,0.02,T
Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,E10+
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,E
Strike Force Bowling,XB,2004.0,Sports,Crave Entertainment,0.03,0.01,0.0,0.0,E
Jaws Unleashed,PS2,2006.0,Action,THQ,0.5,0.02,0.0,0.08,M
Star Wars: Jedi Starfighter,XB,2002.0,Simulation,Activision,0.35,0.07,0.0,0.02,T
Kelly Slater's Pro Surfer,GC,2002.0,Sports,Activision,0.05,0.01,0.0,0.0,E
Horse Life Adventures,DS,2008.0,Simulation,Deep Silver,0.08,0.01,0.0,0.01,E
Top Spin 2,DS,2006.0,Sports,Take-Two Interactive,0.05,0.0,0.0,0.0,E
Horse Life,DS,2007.0,Simulation,Game Life,0.09,0.02,0.0,0.01,E
Silent Hill HD Collection,X360,2012.0,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,M
Tony Hawk's Proving Ground,DS,2007.0,Sports,Activision,0.2,0.01,0.0,0.02,E10+
FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,E
Assassin's Creed Chronicles: China,PS4,2015.0,Action,Ubisoft,0.0,0.03,0.0,0.01,T
Man vs. Wild,X360,2011.0,Action,Crave Entertainment,0.09,0.0,0.0,0.01,T
NHL 2002,PS2,2001.0,Sports,Electronic Arts,0.59,0.46,0.0,0.15,E
LEGO The Lord of the Rings,Wii,2012.0,Action,Warner Bros. Interactive Entertainment,0.48,0.34,0.0,0.07,E10+
Mary-Kate and Ashley: Girls Night Out,GBA,2002.0,Misc,Acclaim Entertainment,0.15,0.05,0.0,0.0,E
Land of the Dead: Road to Fiddler's Green,XB,2005.0,Shooter,Groove Games,0.05,0.01,0.0,0.0,M
Kirby Air Ride,GC,2003.0,Racing,Nintendo,1.01,0.11,0.45,0.04,E
The Saboteur,PS3,2009.0,Action,Electronic Arts,0.2,0.21,0.0,0.07,M
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009.0,Action,Activision,0.9,0.38,0.0,0.12,E10+
